region_id,Median_age_of_persons,Median_rent_weekly,Average_number_of_Persons_per_bedroom,Average_household_size
101,42,210,1.1,2.4
102,41,270,1.1,2.5
103,39,180,1.1,2.5
104,44,240,1.1,2.4
105,39,145,1.1,2.4
106,38,240,1.1,2.6
107,38,250,1.1,2.6
108,47,210,1.1,2.3
109,41,165,1.1,2.4
110,40,175,1.1,2.4
111,39,265,1.1,2.5
112,44,270,1.1,2.4
113,38,180,1.1,2.5
114,46,230,1.1,2.4
115,38,440,1.1,3.1
116,32,300,1.1,3.1
117,33,430,1.2,2.1
118,35,470,1.2,2.3
119,36,335,1.2,2.8
120,36,415,1.2,2.5
121,38,466,1.1,2.6
122,39,460,1.1,2.6
123,34,277,1.1,3
124,36,290,1.1,2.7
125,33,339,1.2,2.9
126,38,380,1.1,2.7
127,34,290,1.2,3.2
128,39,370,1.1,2.7
197,63,4350,0,0
199,37,0,0,0
201,40,195,1.1,2.4
202,40,200,1.1,2.4
203,39,240,1.1,2.5
204,42,185,1.1,2.4
205,42,180,1.1,2.4
206,33,356,1.2,2.1
207,39,350,1.1,2.6
208,39,330,1.1,2.5
209,36,300,1.1,2.8
210,36,290,1.1,2.9
211,38,295,1.1,2.7
212,35,290,1.1,2.9
213,33,275,1.1,2.8
214,40,260,1.1,2.5
215,42,150,1.1,2.4
216,40,180,1.1,2.5
217,41,175,1.1,2.4
297,47,542,0,0
299,32,0,0,0
301,38,350,1.1,2.7
302,37,330,1.1,2.5
303,34,350,1.1,2.7
304,35,370,1.1,2.7
305,32,370,1.1,2.3
306,37,240,1.1,2.5
307,39,180,1.1,2.5
308,35,250,1.1,2.6
309,38,350,1.1,2.5
310,33,280,1.1,2.8
311,33,300,1.1,2.9
312,35,270,1.1,2.7
313,39,290,1.1,2.6
314,35,340,1.1,2.9
315,32,100,1.2,2.7
316,42,320,1.1,2.5
317,36,240,1.1,2.5
318,34,260,1.1,2.6
319,43,220,1.1,2.4
397,46,0,0,0
399,44,0,0,0
401,40,275,1.1,2.4
402,36,230,1.1,2.5
403,40,250,1.1,2.4
404,40,230,1.1,2.3
405,44,160,1.1,2.3
406,38,150,1.1,2.4
407,43,160,1.1,2.3
497,45,0,0,0
499,39,0,0,0
501,39,250,1.1,2.5
502,42,270,1,2.4
503,36,360,1.1,2.3
504,36,300,1.1,2.6
505,36,340,1.1,2.7
506,35,310,1.1,2.6
507,36,310,1.1,2.6
508,33,150,1.1,2.7
509,41,150,1.1,2.4
597,37,435,0,0
599,40,0,0,0
601,39,235,1.1,2.4
602,41,190,1.1,2.4
603,44,170,1.1,2.4
604,41,170,1.1,2.4
697,45,0,1,3
699,37,0,0,0
701,33,360,1.2,2.7
702,29,70,1.4,3.2
797,35,0,0,0
799,45,0,0,0
801,34,380,1.1,2.6
897,0,0,0,0
899,31,0,0,0
901,32,86,1.3,2.9
997,51,0,0,0
999,29,0,0,0
